diagnosis_id,icd10_code,diagnosis_desc,diagnosis_category,severity,updated_at
D000001,K92.1,Melena,Gastrointestinal,Critical,2026-06-06
D000002,G35,Multiple sclerosis,Neurological,High,2026-06-06
D000003,M79.3,Panniculitis,Musculoskeletal,Low,2026-06-06
D000004,K57.30,Diverticulosis of large intestine,Gastrointestinal,High,2026-06-06
D000005,J18.9,Pneumonia unspecified,Respiratory,Critical,2026-06-06
D000006,G35,Multiple sclerosis,Neurological,High,2026-06-06
D000007,I21.0,ST elevation myocardial infarction,Cardiovascular,Critical,2026-06-06
D000008,N18.3,Chronic kidney disease stage 3,Renal,Medium,2026-06-06
D000009,I50.9,Heart failure unspecified,Cardiovascular,Critical,2026-06-06
D000010,J96.00,Acute respiratory failure unspecified,Respiratory,Critical,2026-06-06
D000011,J44.1,COPD with acute exacerbation,Respiratory,Medium,2026-06-06
D000012,I50.9,Heart failure unspecified,Cardiovascular,Low,2026-06-06
D000013,E11.9,Type 2 diabetes without complications,Endocrine,Low,2026-06-06
D000014,S72.001,Fracture of femoral head,Musculoskeletal,High,2026-06-06
D000015,B97.29,Other coronavirus as cause of disease,Infectious,Medium,2026-06-06
D000016,B97.29,Other coronavirus as cause of disease,Infectious,Medium,2026-06-06
D000017,B97.29,Other coronavirus as cause of disease,Infectious,Critical,2026-06-06
D000018,I50.9,Heart failure unspecified,Cardiovascular,Medium,2026-06-06
D000019,F32.9,Major depressive disorder single episode,Mental Health,Medium,2026-06-06
D000020,F41.1,Generalized anxiety disorder,Mental Health,High,2026-06-06
D000021,M79.3,Panniculitis,Musculoskeletal,Critical,2026-06-06
D000022,K92.1,Melena,Gastrointestinal,Medium,2026-06-06
D000023,S72.001,Fracture of femoral head,Musculoskeletal,High,2026-06-06
D000024,F41.1,Generalized anxiety disorder,Mental Health,High,2026-06-06
D000025,N18.3,Chronic kidney disease stage 3,Renal,Critical,2026-06-06
D000026,E11.9,Type 2 diabetes without complications,Endocrine,Medium,2026-06-06
D000027,N18.3,Chronic kidney disease stage 3,Renal,High,2026-06-06
D000028,E11.65,Type 2 diabetes with hyperglycemia,Endocrine,High,2026-06-06
D000029,N39.0,Urinary tract infection,Renal,Medium,2026-06-06
D000030,M79.3,Panniculitis,Musculoskeletal,High,2026-06-06
D000031,M79.3,Panniculitis,Musculoskeletal,High,2026-06-06
D000032,F41.1,Generalized anxiety disorder,Mental Health,High,2026-06-06
D000033,N39.0,Urinary tract infection,Renal,Low,2026-06-06
D000034,G35,Multiple sclerosis,Neurological,Critical,2026-06-06
D000035,A41.9,Sepsis unspecified,Infectious,High,2026-06-06
D000036,J44.1,COPD with acute exacerbation,Respiratory,High,2026-06-06
D000037,I50.9,Heart failure unspecified,Cardiovascular,High,2026-06-06
D000038,I10,Essential hypertension,Cardiovascular,High,2026-06-06
D000039,S72.001,Fracture of femoral head,Musculoskeletal,High,2026-06-06
D000040,M79.3,Panniculitis,Musculoskeletal,Medium,2026-06-06
D000041,E11.9,Type 2 diabetes without complications,Endocrine,High,2026-06-06
D000042,F41.1,Generalized anxiety disorder,Mental Health,High,2026-06-06
