date_key,full_date,year,quarter,month,month_name,day,day_of_week,day_name,is_weekend,fiscal_quarter
20230101,2023-01-01,2023,1,1,January,1,1,Sunday,true,Q1
20230102,2023-01-02,2023,1,1,January,2,2,Monday,false,Q1
20230103,2023-01-03,2023,1,1,January,3,3,Tuesday,false,Q1
20230401,2023-04-01,2023,2,4,April,1,7,Saturday,true,Q2
20230701,2023-07-01,2023,3,7,July,1,7,Saturday,true,Q3
20231001,2023-10-01,2023,4,10,October,1,1,Sunday,true,Q4
20240101,2024-01-01,2024,1,1,January,1,2,Monday,false,Q1
20240401,2024-04-01,2024,2,4,April,1,2,Monday,false,Q2
20240701,2024-07-01,2024,3,7,July,1,2,Monday,false,Q3
20241001,2024-10-01,2024,4,10,October,1,3,Tuesday,false,Q4
20250101,2025-01-01,2025,1,1,January,1,4,Wednesday,false,Q1
20250401,2025-04-01,2025,2,4,April,1,3,Tuesday,false,Q2
20250701,2025-07-01,2025,3,7,July,1,3,Tuesday,false,Q3
20251001,2025-10-01,2025,4,10,October,1,4,Wednesday,false,Q4
20260101,2026-01-01,2026,1,1,January,1,5,Thursday,false,Q1
20260401,2026-04-01,2026,2,4,April,1,4,Wednesday,false,Q2
20260612,2026-06-12,2026,2,6,June,12,6,Friday,false,Q2
